,종목명,현재가,전일대비,등락률
0,삼성전자,"71,300","상승 1,200",+1.71%
1,SK하이닉스,"287,000","상승 10,000",+3.61%
2,LG에너지솔루션,"347,000","상승 3,500",+1.02%
3,삼성바이오로직스,"1,038,000","상승 7,000",+0.68%
4,한화에어로스페이스,"947,000","하락 4,000",-0.42%
5,현대차,"219,500","상승 1,000",+0.46%
6,HD현대중공업,"504,000","하락 7,000",-1.37%
7,KB금융,"109,300","상승 2,600",+2.44%
8,기아,"105,500",상승 600,+0.57%
9,두산에너빌리티,"62,100","상승 1,200",+1.97%
10,셀트리온,"169,600",하락 400,-0.24%
11,NAVER,"231,000","상승 3,000",+1.32%
12,한화오션,"110,100",하락 800,-0.72%
13,신한지주,"65,300",상승 900,+1.40%
14,삼성생명,"157,700","상승 7,300",+4.85%
